Entity,Code,Year,5.5.2 - Proportion of women in senior and middle management positions (%) - IC_GEN_MGTN
Thailand,THA,2018,30.87
Thailand,THA,2019,30.96
Timor,TLS,2010,8.58
Timor,TLS,2013,33.04
Togo,TGO,2017,29.52
Tonga,TON,2018,40.34
Tunisia,TUN,2009,18.25
Tunisia,TUN,2010,19.26
Turkey,TUR,2006,17.26
Turkey,TUR,2007,18
Turkey,TUR,2008,19.38
Turkey,TUR,2009,20.08
Turkey,TUR,2010,18.76
Turkey,TUR,2011,13
Turkey,TUR,2012,14.34
Turkey,TUR,2013,16.57
Turkey,TUR,2014,15.54
Turkey,TUR,2015,14.43
Turkey,TUR,2016,16.7
Turkey,TUR,2017,17.27
Turkey,TUR,2018,16.33
Turkey,TUR,2019,17.46
Tuvalu,TUV,2016,36.73
Uganda,UGA,2017,25.45
United Arab Emirates,ARE,2017,12.17
United Arab Emirates,ARE,2018,15.75
United Kingdom,GBR,2000,34.69
United Kingdom,GBR,2001,29.62
United Kingdom,GBR,2002,31.39
United Kingdom,GBR,2003,31.47
United Kingdom,GBR,2004,32.46
United Kingdom,GBR,2005,33.61
United Kingdom,GBR,2006,34.26
United Kingdom,GBR,2007,34.35
United Kingdom,GBR,2008,34.75
United Kingdom,GBR,2009,35.38
United Kingdom,GBR,2010,35.98
United Kingdom,GBR,2011,32.12
United Kingdom,GBR,2012,32.39
United Kingdom,GBR,2013,32.31
United Kingdom,GBR,2014,32.86
United Kingdom,GBR,2015,32.4
United Kingdom,GBR,2016,33.78
United Kingdom,GBR,2017,34.36
United Kingdom,GBR,2018,34.22
United Kingdom,GBR,2019,34.91
United States,USA,2000,35.31
United States,USA,2001,35.88
United States,USA,2002,36.4
United States,USA,2003,37.38
United States,USA,2004,37.27
United States,USA,2005,37.56
United States,USA,2006,36.95
United States,USA,2007,37.95
United States,USA,2008,37.95
United States,USA,2009,38.07
United States,USA,2010,38.8
United States,USA,2011,38.59
United States,USA,2012,39.07
United States,USA,2013,38.75
United States,USA,2014,38.8
United States,USA,2015,39.37
United States,USA,2016,39.73
United States,USA,2017,40.53
United States,USA,2018,40.47
United States,USA,2019,40.85
United States,USA,2020,42.29
Uruguay,URY,2000,20.46
Uruguay,URY,2001,15.09
Uruguay,URY,2002,13.71
Uruguay,URY,2003,13.26
Uruguay,URY,2004,11.39
Uruguay,URY,2005,17.28
Uruguay,URY,2006,23.43
Uruguay,URY,2007,22.12
Uruguay,URY,2008,17.88
Uruguay,URY,2009,22.52
Uruguay,URY,2010,23.65
Uruguay,URY,2011,31.24
Uruguay,URY,2012,36.47
Uruguay,URY,2013,34.18
Uruguay,URY,2014,31.8
Uruguay,URY,2015,34.01
Uruguay,URY,2016,33.67
Uruguay,URY,2017,35.05
Uruguay,URY,2018,37.27
Uruguay,URY,2019,35.18
Vanuatu,VUT,2009,28.54
Vietnam,VNM,2007,16.33
Yemen,YEM,2014,4.5
Zambia,ZMB,2017,28.51
Zambia,ZMB,2018,40.26
Zimbabwe,ZWE,2011,22.76
Zimbabwe,ZWE,2019,28.07
